FID,OBJECTID,SHAPE,LINFO,HSTNR,HTXT,HBEM,EROEFFNUNG_JAHR,EROEFFNUNG_MONAT,SE_ANNO_CAD_DATA
UBAHNHALTOGD.29905,29905,POINT (16.37617474522542 48.179186236916316),1,,Keplerplatz,,1978,2,
UBAHNHALTOGD.29906,29906,POINT (16.357967742931017 48.19660901246018),4,,Kettenbrückengasse,,1980,10,
UBAHNHALTOGD.29907,29907,POINT (16.352266364603853 48.199166570809865),3,,Neubaugasse,,1993,9,
UBAHNHALTOGD.29908,29908,POINT (16.383906929607083 48.206295029758564),3,,Landstraße / Wien Mitte (ÖBB),,1991,4,
UBAHNHALTOGD.29909,29909,POINT (16.36133597932078 48.20256656520191),2,,Museumsquartier,,1980,8,
UBAHNHALTOGD.29910,29910,POINT (16.34426831976529 48.22127508635545),6,,Michelbeuern-AKH,,1989,10,
UBAHNHALTOGD.29911,29911,POINT (16.33117146504783 48.18077041567251),6,,Niederhofstraße,,1995,4,
UBAHNHALTOGD.29912,29912,POINT (16.352427023330613 48.2313173727495),6,,Nußdorfer Straße,,1989,10,
UBAHNHALTOGD.29913,29913,POINT (16.276197527573725 48.19223368709436),4,,Ober Sankt Veit,,1981,12,
UBAHNHALTOGD.29914,29914,POINT (16.313438744509632 48.13688046529018),6,,Perfektastraße,,1995,4,
UBAHNHALTOGD.29915,29915,POINT (16.331487451308682 48.17419596815081),6,,Philadelphiabrücke bzw. Meidling (ÖBB),,1995,4,
UBAHNHALTOGD.29916,29916,POINT (16.354232334550385 48.19202540143332),4,,Pilgramgasse,,1980,10,
UBAHNHALTOGD.29917,29917,POINT (16.31138540590788 48.199790679407336),3,,Hütteldorfer Straße,,1998,12,
UBAHNHALTOGD.29918,29918,POINT (16.391372920492127 48.21886524887806),1,,Praterstern bzw. Wien Nord (ÖBB),,1982,9,
UBAHNHALTOGD.29919,29919,POINT (16.358424707085234 48.235625165739044),4,,Spittelau,,1976,5,
UBAHNHALTOGD.29920,29920,POINT (16.392244884081975 48.202079288375174),3,,Rochusgasse,,1991,4,
UBAHNHALTOGD.29921,29921,POINT (16.367559880408063 48.222250317318306),4,,Roßauer Lände,,1978,4,
UBAHNHALTOGD.29922,29922,POINT (16.371236177335003 48.21714006111536),4,,Schottenring,,1978,4,
UBAHNHALTOGD.29923,29923,POINT (16.37835731866081 48.21179970387314),1,,Schwedenplatz,,1979,11,
UBAHNHALTOGD.29924,29924,POINT (16.406739713335252 48.19440807207122),3,,Schlachthausgasse,,1991,4,
UBAHNHALTOGD.29925,29925,POINT (16.328510059571325 48.1977948997814),3,,Schweglerstraße,,1994,9,
UBAHNHALTOGD.29926,29926,POINT (16.379569594951317 48.20280261040874),4,,Stadtpark,,1978,8,
UBAHNHALTOGD.29927,29927,POINT (16.309138903030078 48.20453424873891),3,,Kendlerstraße,,1998,12,
UBAHNHALTOGD.29928,29928,POINT (16.371521786047992 48.20804084558635),1,,Stephansplatz,,1979,11,
UBAHNHALTOGD.29929,29929,POINT (16.370332214293555 48.19391015633581),1,,Taubstummengasse,,1973,8,
UBAHNHALTOGD.29930,29930,POINT (16.338006861124274 48.20779500248116),6,,Thaliastraße,,1989,10,
UBAHNHALTOGD.29931,29931,POINT (16.327660103222062 48.16485393488059),6,,Tscherttegasse,,1995,4,
UBAHNHALTOGD.29932,29932,POINT (16.28593995578065 48.191122008625186),4,,Unter Sankt Veit,,1981,12,
UBAHNHALTOGD.29933,29933,POINT (16.35825137111044 48.204909692840225),2,,Volkstheater,,1980,8,
UBAHNHALTOGD.29934,29934,POINT (16.401067610745752 48.22362318601974),1,,Vorgartenstraße,,1982,9,
UBAHNHALTOGD.29935,29935,POINT (16.339592988548866 48.19583234491603),3,,Westbahnhof,,1993,9,
UBAHNHALTOGD.29936,29936,POINT (16.316867288294755 48.15072174415088),6,,Alterlaa,,1995,4,
UBAHNHALTOGD.29937,29937,POINT (16.34949137625096 48.22558078053577),6,,Währinger Straße-Volksoper,,1989,10,
UBAHNHALTOGD.29631,29631,POINT (16.34597150110078 48.197074450704704),3,,Zieglergasse,,1993,9,
UBAHNHALTOGD.29632,29632,POINT (16.36182740886657 48.21452055774297),2,,Schottentor,,1980,8,
UBAHNHALTOGD.29633,29633,POINT (16.394825555109936 48.24639957683716),6,,Neue Donau,,1996,5,
UBAHNHALTOGD.29634,29634,POINT (16.38569404560569 48.24185437712757),6,,Handelskai,,1996,5,
UBAHNHALTOGD.29635,29635,POINT (16.417458039093816 48.185137107591025),3,,Gasometer,,2000,12,
UBAHNHALTOGD.29636,29636,POINT (16.414787588913104 48.17471287966835),3,,Enkplatz,,2000,12,
UBAHNHALTOGD.29637,29637,POINT (16.381282992872208 48.219124265571814),2,,Taborstraße,,2008,5,
UBAHNHALTOGD.29638,29638,POINT (16.26082720804908 48.19695114817187),4,,Hütteldorf,,1981,12,
UBAHNHALTOGD.29639,29639,POINT (16.342945684151 48.18847808346095),4,,Margaretengürtel,,1980,10,
UBAHNHALTOGD.29640,29640,POINT (16.318947007508072 48.18604140356519),4,,Schönbrunn,,1981,8,
